Ticker,DBC,DBC,DBC,DBC,DBC,SPY,SPY,SPY,SPY,SPY,AOA,AOA,AOA,AOA,AOA,VXUS,VXUS,VXUS,VXUS,VXUS,XBB.TO,XBB.TO,XBB.TO,XBB.TO,XBB.TO,VTHRX,VTHRX,VTHRX,VTHRX,VTHRX,EEM,EEM,EEM,EEM,EEM,BNDW,BNDW,BNDW,BNDW,BNDW,BIL,BIL,BIL,BIL,BIL,XIU.TO,XIU.TO,XIU.TO,XIU.TO,XIU.TO,XBAL.TO,XBAL.TO,XBAL.TO,XBAL.TO,XBAL.TO,VFH,VFH,VFH,VFH,VFH,AOM,AOM,AOM,AOM,AOM,PFF,PFF,PFF,PFF,PFF,VGK,VGK,VGK,VGK,VGK,SWAN,SWAN,SWAN,SWAN,SWAN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,11.727625912321718,11.806276293514125,10.22453205344464,11.1683349609375,51971600,171.4027667465355,172.6081929861885,154.75748774832266,165.61495971679688,3712950900,35.458808780434325,35.778255669307384,32.41605865642869,34.324764251708984,4455700,33.79390717751348,33.79390717751348,29.87357089887103,32.40355682373047,29932300,24.1168259212219,24.368599111995874,23.964235491269715,24.093936920166016,1946000,18.96927074779098,18.976196525572163,17.791916265087906,18.47755241394043,0,25.719718557570253,25.842779097455345,22.65140148107691,25.079801559448242,1442936000,,,,,,76.78646087646484,76.78646087646484,76.75284817316562,76.78646087646484,24849050,14.469801842406024,14.538343125234082,12.999974370212513,14.408876419067383,78250400,16.16919423029161,16.23229308951385,15.451439296800526,15.96412181854248,61704,39.12989485686041,39.327231280768046,34.36096525844963,36.44942855834961,16979100,26.89751174635789,27.144498298314076,25.901602642253987,26.69832992553711,6811300,23.11774811904186,23.40440554030555,22.383188049900397,22.97442054748535,56648500,36.325173781124484,36.354743179292626,32.37774936225385,34.824562072753906,135807000,,,,,
2016-02-01,11.03725155677453,11.194552319285982,10.574089219100607,11.142118453979492,47421900,164.59756855117098,168.1454774962417,154.81729224091416,165.47813415527344,2920730800,34.13309677957311,34.48448927181776,32.471961987506674,34.08517837524414,1194000,32.14523071519972,32.39594832396974,29.94194035599269,31.605802536010742,21058000,24.121374327986178,24.54200644885314,24.090782158395523,24.167261123657227,1932500,18.456778015645757,18.477555352293376,17.653406158672762,18.394447326660156,0,24.66139676771609,25.424374376748393,23.463605106293198,24.87470245361328,1333275700,,,,,,76.76965773029904,76.78646087646484,76.75284817316562,76.78646087646484,17356700,14.325107253572002,14.667813759490231,13.517844815003244,14.469805717468262,76359700,16.01947078547085,16.154020558477313,15.560413861840678,16.066959381103516,42556,36.28499080770021,36.515214077291176,32.963182683183184,35.52031707763672,16621400,26.618654681405935,26.84970629059389,26.060945053435095,26.730195999145508,1804700,22.890807599362855,22.974415711530337,21.433629833643213,22.88483428955078,77431100,34.50668277692847,34.905861015350354,32.133794615018004,33.70093536376953,125393600,,,,,
2016-03-01,11.133378844621435,11.998531333315682,11.054728466847779,11.614019393920898,54068600,166.7178369536133,176.85718213449343,166.2390841496652,175.7030487060547,2323306500,34.40463190016859,36.42514427272932,34.32476788462229,36.1855583190918,965700,32.099634109203606,34.57643300430026,32.05404778663103,34.128177642822266,19133900,24.193915112352812,24.400897630285996,24.078925312003705,24.3319034576416,1278100,18.699172877719732,19.481767309529097,18.699172877719732,19.447139739990234,0,25.350534819455177,28.369629491816518,25.342330575002066,28.098894119262695,1559492600,,,,,,76.76965773029904,76.80327043359827,76.76965773029904,76.78646087646484,19732950,14.606887210155657,15.35322415237079,14.492652201053659,15.132369995117188,85128900,16.10526885053499,16.827941661984113,16.10526885053499,16.740585327148438,26783,35.816318777911384,38.60367632999404,35.816318777911384,38.118560791015625,10301000,26.873610610259167,27.78984819185104,26.82580587963993,27.72610855102539,1441300,22.941431486233245,23.51736643018169,22.86343958073126,23.415376663208008,49417800,34.247958382697725,36.376903389801704,34.1666439821689,35.866844177246094,99042300,,,,,
2016-04-01,11.421763999407322,12.785035387921152,11.16833544535509,12.741340637207031,49181700,175.60381553084198,181.2495979641069,174.52105303590088,177.30528259277344,1910635600,35.88207797351078,37.11195628543825,35.426863787985745,36.4091682434082,982900,33.552112361189685,35.83871699628384,33.08716895350964,34.9774284362793,14851700,24.4052869102425,24.54360426100093,24.213179804335986,24.33612823486328,1807900,19.44713994688338,19.88345340411754,19.218594551006987,19.64798355102539,0,27.499995055607574,28.993132941209275,26.85187390482473,28.213747024536133,1259961000,,,,,,76.78650141469765,76.82011413574219,76.78650141469765,76.82011413574219,13284750,15.033365238199925,15.703546475300973,14.827741350504585,15.642621040344238,73315400,16.699702781227916,16.970594178634915,16.516451787169107,16.859050750732422,46723,38.036046219756905,40.056170652878066,37.08782358419848,39.314083099365234,8907900,27.606597770876913,28.084632859153313,27.367577187465745,27.813745498657227,1672500,23.367521044120995,23.6268253326416,23.02982184734385,23.6268253326416,68852700,35.44468952872666,37.57820925266404,34.968922340818295,37.06527328491211,85133000,,,,,
2016-05-01,12.688908031913444,13.012247864672705,12.05970576722641,12.854947090148926,59706700,177.8123099920357,181.05198317151638,174.25468935916695,180.32154846191406,1828530900,36.576874228394544,36.752571981970924,35.65047315349198,36.64875030517578,683900,35.12986199554654,35.228948989841236,33.60545922361146,34.634429931640625,15021000,24.385322395828634,24.64719900275996,24.30059717914863,24.50855827331543,1090600,19.74494342291926,19.765720759141946,19.322480166425272,19.751869201660156,0,28.213750523341055,28.221956332626178,26.006860395132968,27.17183494567871,1426199200,,,,,,76.82011413574219,76.82011413574219,76.78650141469765,76.82011413574219,11477050,15.70354458414396,15.932014574573147,15.162830143015617,15.77970027923584,72042400,17.12257813734117,17.1465586062727,16.874772395950973,17.082609176635742,26288,39.4047821256834,40.52615744928771,38.64620340573921,40.31177520751953,13624500,27.925287246704105,28.01292772340152,27.431317242641306,27.9252872467041,1361100,23.65272588842384,23.99815368652344,23.56182517467972,23.998153686523438,47310600,37.28828342506932,37.38492450736973,35.66769990247335,36.87942123413086,82162300,,,,,
2016-06-01,12.75881829166521,13.623970816217081,12.741340058809772,13.414237022399902,50775800,179.7028024175514,182.62452768397358,170.7056304368368,180.0121612548828,2612406900,36.512986735256014,37.279662870455574,34.95567374116305,36.63277816772461,821400,34.497233746075146,35.808221071629255,31.707576765758716,33.90271759033203,22867000,24.611081631900237,24.97391700744629,24.580202746034622,24.97391700744629,1247200,19.772644580890805,20.07737223090174,19.073158123005058,19.821125030517578,0,27.065185388424297,28.599343169345296,26.162737241718304,28.18914031982422,1686201000,,,,,,76.80329895019531,76.83691166597474,76.80329895019531,76.80329895019531,16676150,15.726393472528619,16.213798431629577,15.147601082242936,15.657852172851562,62934500,17.082947046194064,17.331572109212512,16.922544122388896,17.283451080322266,29264,40.031437739723664,40.50967270478352,36.485914476196,39.050235748291016,10831000,27.917327700751592,28.283821560561346,27.287912350682426,28.124475479125977,2527400,24.00055421196318,24.30497525872607,23.781373009234443,24.286710739135742,61073800,36.6192326210716,37.68971143092807,31.764917711161083,34.68642807006836,177468500,,,,,
2016-07-01,13.422975635390388,13.58901551796668,12.321872774078296,12.479172706604004,41556800,180.94827223211297,187.91047703528434,178.85788414539047,187.5476837158203,1648453700,36.50500317671672,37.639047761316704,35.74631182769921,37.599117279052734,562000,34.37997393409485,35.90762946716687,33.230373007508014,35.86905288696289,15318200,25.046123716731266,25.301460972216997,24.945538996330345,25.177661895751953,1312000,19.876530274885024,20.458282470703125,19.724165786816297,20.458282470703125,0,28.62561474640357,29.973384360836448,27.558978086333372,29.940309524536133,1306270200,,,,,,76.8200892431501,76.83689880371094,76.80328609355819,76.83689880371094,9427700,15.927105943393878,16.448803283599457,15.773665032749541,16.3797550201416,40769700,17.340271465005927,17.79892490807319,17.291992235339677,17.62190055847168,23612,39.18564757535293,41.07690975704941,38.23171969848857,40.81976318359375,9739200,28.180243137775157,28.67421624132026,27.805783381616408,28.61844253540039,1637000,24.371289849233623,24.640384640814258,24.096082660354984,24.62815284729004,62402600,35.452448856653675,36.673117512481774,33.579748688652074,36.604881286621094,129763900,,,,,
2016-08-01,12.374305657048241,13.283152941650426,12.199527493357055,12.575301170349121,56035800,187.6082304489541,189.68998613448946,185.0686630225177,187.77235412597656,1519703200,37.85349111925637,38.48196445158581,37.47479407355013,38.03075408935547,639300,35.86904733154343,36.80261396662868,35.23637915272766,36.031070709228516,13031900,25.125233966092114,25.272572229193322,25.0321754184856,25.195026397705078,1358400,20.409800998617744,20.67990106805704,20.305916966198232,20.520610809326172,0,30.014727066809886,31.403838683664333,29.394588064792366,30.20490264892578,1607818000,,,,,,76.8200892431501,76.85370195330285,76.8200892431501,76.83689880371094,6756050,16.341391920463707,16.709649765112392,16.18795249323747,16.364408493041992,46702200,17.604292844571635,17.967517192532426,17.55586282969481,17.676937103271484,48014,40.80316298933216,42.171841238420946,40.25569232255584,42.1386604309082,7032600,28.75627839803448,29.037024944355128,28.515640686812862,28.844512939453125,2124600,24.748374413939704,24.779086744817533,24.45967334864668,24.631664276123047,65461900,36.400178075477925,37.56777460789547,35.86187159741584,36.85508728027344,71401600,,,,,
